time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/approx_kl,train/loss,train/policy_gradient_loss,train/clip_range,train/n_updates,train/explained_variance,train/clip_fraction,train/value_loss,train/learning_rate,train/entropy_loss
8,200,11,17,0.0012504697,5.443112850189209,-0.014175773664144842,0.2,370,0.18744486570358276,0.0,12.782045841217041,0.0003,-9.546870899200439
9,225,13,17,0.005639119,4.812007427215576,-0.029256799437105484,0.2,380,0.2768401503562927,0.023999999463558196,10.45088243484497,0.0003,-9.65930461883545
10,250,14,16,0.0014930891,27.618999481201172,-0.011431596113368858,0.2,390,-0.0920555591583252,0.0,57.19103355407715,0.0003,-9.499244117736817
1,25,1,23,0.001131022,8.665706634521484,-0.015221131284255663,0.2,400,-0.09844422340393066,0.0,18.764937591552734,0.0003,-9.597302341461182
2,50,2,21,0.01575264,1.7007341384887695,-0.0554681476876139,0.2,410,0.39663970470428467,0.07599999755620956,4.22583646774292,0.0003,-9.681831359863281
3,75,3,21,0.008127593,2.812513828277588,-0.031050029399804835,0.2,420,-0.09163069725036621,0.023999999463558196,6.643033742904663,0.0003,-9.614388370513916
4,100,4,20,0.0033071542,17.590213775634766,-0.002358054216252725,0.2,430,-0.09384322166442871,0.0,36.1388656616211,0.0003,-9.45792989730835
5,125,6,19,0.007642083,9.894342422485352,-0.03480399985518332,0.2,440,-0.8293964862823486,0.023999999463558196,21.30144920349121,0.0003,-9.547337341308594
6,150,7,19,0.004540918,26.964963912963867,-0.01927177585777784,0.2,450,0.16649192571640015,0.003999999910593033,57.17585983276367,0.0003,-9.495609760284424
7,175,9,18,0.0055031274,13.802587509155273,-0.027150010472863074,0.2,460,-0.14586341381072998,0.015999999642372132,30.562871551513673,0.0003,-9.52718906402588
8,200,11,17,0.0022835683,3.8306713104248047,-0.00824161754222672,0.2,470,0.26768094301223755,0.0,8.359132385253906,0.0003,-9.57382640838623
9,225,12,17,0.00056938885,5.449748516082764,-0.004430268630531487,0.2,480,-3.3656082153320312,0.0,13.986519145965577,0.0003,-9.622551727294923
10,250,14,17,0.03021491,9.556608200073242,-0.06916584498435263,0.2,490,0.12933766841888428,0.16399999260902404,20.52431163787842,0.0003,-9.422204208374023
1,25,1,23,0.0033565592,28.112417221069336,-0.008163761781062994,0.2,500,-0.2895669937133789,0.0,60.443643188476564,0.0003,-9.55516300201416
2,50,2,22,0.017745426,13.082442283630371,-0.05877828608639675,0.2,510,-0.36383283138275146,0.07999999821186066,28.471758460998537,0.0003,-9.521402835845947
3,75,3,21,0.0031046153,24.630517959594727,-0.008475192686542954,0.2,520,0.29224228858947754,0.0,52.843678665161136,0.0003,-9.509264659881591
4,100,4,20,0.04165873,3.4727675914764404,-0.07268838449381292,0.2,530,0.09132355451583862,0.2039999932050705,8.20703067779541,0.0003,-9.462150287628173
5,125,6,19,0.00728775,4.875531196594238,-0.004797592764254688,0.2,540,-0.17449498176574707,0.023999999463558196,11.202270889282227,0.0003,-9.407835769653321
6,150,7,19,0.0035800743,5.307602405548096,-0.018640477126812983,0.2,550,0.040943920612335205,0.0,11.6001802444458,0.0003,-9.501515769958496
7,175,9,18,0.028826362,3.630277395248413,-0.06810133336298171,0.2,560,0.04752296209335327,0.13999999538064004,8.343870210647584,0.0003,-9.482370185852051
8,200,11,17,0.007044301,13.21618366241455,-0.008982698674081035,0.2,570,-0.26292622089385986,0.02799999937415123,28.278189277648927,0.0003,-9.469436740875244
