time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_range,train/explained_variance,train/n_updates,train/clip_fraction,train/loss,train/entropy_loss
25,1,24,1,1.8125329732894897,-0.11543084396421896,0.13309771,0.0003,0.2,-0.08895003795623779,800,0.4879999876022339,0.7248454689979553,-8.423478984832764
50,2,22,2,2.455943155288696,-0.023147242371925357,0.025565306,0.0003,0.2,-0.6071630716323853,810,0.12399999722838402,0.9847584962844849,-8.176642227172852
75,3,21,3,6.053273344039917,-0.061480882285162776,0.02455696,0.0003,0.2,-0.20817279815673828,820,0.12799999862909317,2.6015689373016357,-7.954926681518555
100,4,21,4,37.850909042358396,-0.061790342025458855,0.023670431,0.0003,0.2,0.03747469186782837,830,0.11599999666213989,18.34469223022461,-8.121284103393554
125,5,20,5,3.53463671207428,-0.08112227975949651,0.05705383,0.0003,0.2,-0.0526355504989624,840,0.27599999234080314,1.3868300914764404,-8.053852558135986
150,6,20,7,13.45437479019165,-0.05446917222626553,0.019288782,0.0003,0.2,-0.08496546745300293,850,0.09999999701976776,6.085324764251709,-7.993494033813477
175,7,19,8,82.25956726074219,-0.0464306635148823,0.010987069,0.0003,0.2,-0.06336641311645508,860,0.0639999970793724,39.77245330810547,-7.974106884002685
200,8,18,10,27.23043899536133,-0.04029030064214023,0.009659562,0.0003,0.2,-0.04147064685821533,870,0.023999999463558196,12.834900856018066,-7.983158540725708
225,9,18,12,6.353450965881348,-0.08345380230247983,0.052035026,0.0003,0.2,0.004405319690704346,880,0.21599999144673349,2.9667203426361084,-7.687516117095948
250,10,18,13,0.8664346873760224,-0.09992982031404969,0.10610083,0.0003,0.2,0.04460573196411133,890,0.4599999852478504,0.2691161632537842,-7.7790265560150145
25,1,26,0,8.667491722106934,-0.029318814588943455,0.04045577,0.0003,0.2,0.1160547137260437,900,0.28799999207258226,4.1521196365356445,-7.492328453063965
50,2,22,2,29.037665367126465,-0.011695446191355074,0.005703783,0.0003,0.2,0.03192418813705444,910,0.007999999821186066,13.922346115112305,-8.063219451904297
75,3,21,3,5.926171588897705,-0.05588319505751116,0.020763824,0.0003,0.2,0.06268554925918579,920,0.11599999666213989,2.545590877532959,-7.703181505203247
100,4,20,4,6.006430912017822,-0.04065266182273604,0.016449453,0.0003,0.2,-0.031462788581848145,930,0.05999999865889549,2.9005000591278076,-7.2587954044342045
125,5,20,6,1.0812220692634582,-0.0863999460823834,0.07484525,0.0003,0.2,0.0024483203887939453,940,0.35199998766183854,0.3742937445640564,-7.504405117034912
150,6,20,7,9.19595127105713,-0.029112706813960897,0.017587133,0.0003,0.2,0.06696343421936035,950,0.11999999582767487,4.189801216125488,-8.089821243286133
175,7,19,8,9.534900093078614,-0.05410139325633736,0.022495959,0.0003,0.2,-0.06940293312072754,960,0.10399999767541886,4.310114860534668,-7.709773349761963
200,8,19,10,0.9097598731517792,-0.07604566320031907,0.069157444,0.0003,0.2,-0.024877309799194336,970,0.2879999980330467,0.28656232357025146,-8.02081127166748
225,9,19,11,2.870062732696533,-0.057040082935243853,0.03189876,0.0003,0.2,0.0895242691040039,980,0.15199999660253524,1.1268306970596313,-8.018511867523193
250,10,18,13,1.7859732031822204,-0.03969720162148569,0.026023103,0.0003,0.2,-0.43364107608795166,990,0.12399999797344208,0.7929549217224121,-7.7802635669708256
25,1,27,0,1.9375358939170837,-0.08471197671443206,0.08683777,0.0003,0.2,-0.028599977493286133,1000,0.3599999904632568,0.8199285268783569,-7.526112747192383
50,2,24,2,0.6261338412761688,-0.08377937554940615,0.068659894,0.0003,0.2,0.14641380310058594,1010,0.335999995470047,0.10594247281551361,-7.9270697116851805
75,3,22,3,2.12621031999588,-0.03038190981652633,0.018785562,0.0003,0.2,0.10685408115386963,1020,0.09199999645352364,0.7897741794586182,-6.978266954421997
100,4,22,4,1.7008541464805602,-0.080913494270294,0.047176875,0.0003,0.2,-0.037539005279541016,1030,0.2679999887943268,0.565040111541748,-7.1878870010375975
125,5,21,5,7.734064817428589,-0.08000315522030021,0.050079975,0.0003,0.2,-0.0009629726409912109,1040,0.25999999418854713,3.716655731201172,-6.9420043468475345
150,6,20,7,13.57981481552124,-0.04571283199265608,0.025310729,0.0003,0.2,-0.004891753196716309,1050,0.12799999639391899,6.501655101776123,-6.657516431808472
175,7,19,8,0.7084991633892059,-0.10086964038014408,0.17197898,0.0003,0.2,-0.05971729755401611,1060,0.4719999857246876,0.19923116266727448,-6.837681674957276
200,8,19,10,0.17634555399417878,-0.0757841244339943,0.06808768,0.0003,0.2,-0.3397449254989624,1070,0.2999999910593033,-0.05817224830389023,-6.357607364654541
225,9,19,11,2.1983875274658202,-0.018988357237539333,0.021782374,0.0003,0.2,-0.4344513416290283,1080,0.13999999836087226,0.9010728001594543,-6.381254386901856
250,10,18,13,5.214592218399048,-0.017403931498061808,0.0152298445,0.0003,0.2,-0.05472970008850098,1090,0.06799999848008156,2.332115411758423,-5.854211854934692
25,1,27,0,0.16019083857536315,-0.07696780983358593,0.05684668,0.0003,0.2,-0.36501479148864746,1100,0.31599999144673346,-0.06767051666975021,-5.85742564201355
50,2,25,1,0.9352664649486542,-0.027301796065643556,0.018363895,0.0003,0.2,0.1651366949081421,1110,0.12799999639391899,0.3247841000556946,-6.618145990371704
75,3,24,3,0.27563547492027285,-0.07947777280211454,0.056835793,0.0003,0.2,-0.07406508922576904,1120,0.2719999894499779,0.009875327348709106,-5.90841236114502
100,4,23,4,0.6977342665195465,-0.09894365237653258,0.09395877,0.0003,0.2,-0.3796004056930542,1130,0.39599998742341996,0.16760726273059845,-5.8604576587677
125,5,22,5,0.744959431886673,-0.028333607920445304,0.017959202,0.0003,0.2,-0.374386191368103,1140,0.10799999535083771,0.2181166708469391,-6.916912651062011
150,6,21,6,3.473970127105713,-0.023443372515524884,0.008829186,0.0003,0.2,-0.23114371299743652,1150,0.02799999937415123,1.479693055152893,-5.664384746551514
175,7,21,8,1.1446586728096009,-0.05958059748262201,0.037521962,0.0003,0.2,0.07763713598251343,1160,0.17999999597668648,0.4662500321865082,-5.212155675888061
200,8,20,9,1.6821007013320923,-0.06863747221231478,0.042356644,0.0003,0.2,0.058848023414611816,1170,0.16799999549984931,0.6915752291679382,-5.988737154006958
225,9,19,11,0.49486391246318817,-0.09164663038775274,0.089386,0.0003,0.2,-0.19924700260162354,1180,0.3479999914765358,0.09812542796134949,-5.81587929725647
250,10,19,13,5.32428503036499,-0.05481113310903254,0.030712802,0.0003,0.2,0.1810857653617859,1190,0.17199999392032622,2.4181365966796875,-5.597818613052368
25,1,24,1,0.9980394661426544,-0.06903156661428511,0.04558012,0.0003,0.2,-0.1729520559310913,1200,0.18399999663233757,0.3524007201194763,-4.784572887420654
