time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/n_updates,train/learning_rate,train/entropy_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/loss,train/value_loss
5,5,21,125,240,0.0003,-9.76892261505127,0.0,-0.11287462711334229,0.2,0.0043375134,-0.007730274439091289,11.729175567626953,26.368678665161134
6,7,20,150,250,0.0003,-9.774112701416016,0.43199998065829276,-0.02478504180908203,0.2,0.10428797,-0.10819812545180305,3.052013635635376,6.759633111953735
7,8,19,175,260,0.0003,-9.686072731018067,0.3039999894797802,0.3931736946105957,0.2,0.06963618,-0.0798627780973911,0.8302328586578369,2.1783323645591737
8,10,19,200,270,0.0003,-9.680517864227294,0.27999998778104784,-0.8437778949737549,0.2,0.060032237,-0.07715275880321855,0.2517625093460083,1.033011293411255
9,11,19,225,280,0.0003,-9.555686092376709,0.20799999311566353,-0.0900106430053711,0.2,0.03707459,-0.03542105078883466,6.672996520996094,13.655362415313721
10,13,18,250,290,0.0003,-9.603975677490235,0.17599999532103539,-0.04111671447753906,0.2,0.030754434,-0.05398389719799148,1.3570929765701294,3.1033479452133177
1,0,27,25,300,0.0003,-9.572710418701172,0.015999999642372132,-0.027799248695373535,0.2,0.003919623,-0.010866972420015308,23.734079360961914,50.75597305297852
2,1,25,50,310,0.0003,-9.643207263946532,0.0,-0.5386351346969604,0.2,0.0030219078,-0.02542797828372585,15.25898265838623,31.175069046020507
3,3,23,75,320,0.0003,-9.504365539550781,0.2199999935925007,0.08897066116333008,0.2,0.040409837,-0.06938891054876137,1.0708545446395874,2.873006319999695
4,4,22,100,330,0.0003,-9.547288990020752,0.11599999889731408,-0.7862417697906494,0.2,0.025507046,-0.04546899819839752,7.549577713012695,16.56737642288208
5,5,21,125,340,0.0003,-9.461450099945068,0.2759999930858612,-0.10241377353668213,0.2,0.0570954,-0.08620116213336501,0.683262825012207,2.124839150905609
6,7,20,150,350,0.0003,-9.399341201782226,0.2279999941587448,-0.17598402500152588,0.2,0.06447802,-0.07751393291354206,0.7382140755653381,2.4210614919662476
7,8,20,175,360,0.0003,-9.236596584320068,0.17999999076128007,0.11909842491149902,0.2,0.025372889,-0.03693742012232555,24.63372802734375,54.76844825744629
8,10,19,200,370,0.0003,-9.070797061920166,0.023999999463558196,0.5297842919826508,0.2,0.008279472,-0.027131373963085893,7.216161727905273,15.754118251800538
9,11,19,225,380,0.0003,-9.15432767868042,0.003999999910593033,-1.1917078495025635,0.2,0.0064760447,-0.024919446986169193,16.480636596679688,34.58292236328125
