time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_fraction,train/approx_kl,train/value_loss,train/loss,train/learning_rate,train/explained_variance,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/n_updates
150,7,21,6,0.03599999919533729,0.009666839,3.580214762687683,1.5469332933425903,0.0003,-0.06427812576293945,0.2,-9.647389030456543,-0.03989118077326594,150
175,8,20,7,0.09199999943375588,0.020170523,52.3945556640625,25.740562438964844,0.0003,0.09508633613586426,0.2,-9.599632930755615,-0.05872608427889645,160
200,10,19,8,0.023999999463558196,0.008272347,16.46759452819824,7.777613639831543,0.0003,-0.9749124050140381,0.2,-9.61257438659668,-0.03039044950250549,170
225,11,19,9,0.03999999836087227,0.010929201,16.136194896697997,7.645238876342773,0.0003,-0.09573221206665039,0.2,-9.565558624267577,-0.04608638256043189,180
250,13,18,10,0.0,0.0023090004,21.400273323059082,10.045226097106934,0.0003,0.011119186878204346,0.2,-9.430799674987792,-0.012426327013410444,190
25,1,24,1,0.0,0.0012191152,12.360642623901366,5.896577835083008,0.0003,-0.2602231502532959,0.2,-9.577210807800293,-0.011309736206196418,200
50,2,23,2,0.0,0.0006528687,44.86134796142578,21.028520584106445,0.0003,-0.3772397041320801,0.2,-9.63903455734253,-0.0061839475925076215,210
75,3,22,3,0.1119999960064888,0.023456136,13.148278617858887,6.094432830810547,0.0003,0.1983407735824585,0.2,-9.505033779144288,-0.06256891103833909,220
100,4,22,4,0.11999999657273293,0.02597437,12.758674716949463,5.842568874359131,0.0003,0.30698472261428833,0.2,-9.352127361297608,-0.05524243952334018,230
125,5,21,5,0.011999999731779098,0.004155662,93.13025436401367,45.480499267578125,0.0003,0.05120760202407837,0.2,-9.430848026275635,-0.006812794263476007,240
150,7,21,6,0.0,0.00065713405,51.53827476501465,23.63033103942871,0.0003,-0.1404881477355957,0.2,-9.396682357788086,-0.00041814206191332915,250
175,8,20,7,0.0,0.00015249252,95.4586166381836,47.358394622802734,0.0003,-0.18741369247436523,0.2,-9.260042190551758,-0.00287575620529239,260
200,10,19,8,0.0,0.001084907,11.51365909576416,5.345853328704834,0.0003,0.10076969861984253,0.2,-9.392300224304199,-0.013204578122589794,270
225,11,19,9,0.0,0.00090701814,151.9755661010742,74.27278137207031,0.0003,-0.07601380348205566,0.2,-9.345709037780761,-0.005745566646918121,280
250,13,19,10,0.1039999969303608,0.020291816,14.990613842010498,7.177730560302734,0.0003,0.10608404874801636,0.2,-9.332039833068848,-0.054634959951043525,290
25,0,26,1,0.031999999284744264,0.0064983177,66.84784088134765,31.719722747802734,0.0003,-0.2443695068359375,0.2,-9.06964807510376,-0.01463106860406711,300
50,2,23,2,0.019999999552965164,0.009499397,27.50579128265381,12.93287467956543,0.0003,-0.2089444398880005,0.2,-9.351665878295899,-0.034263568032068294,310
75,3,22,3,0.007999999821186066,0.0034793639,149.17420501708983,71.86131286621094,0.0003,-0.4533965587615967,0.2,-9.318798732757568,-0.012744978870264845,320
100,4,22,4,0.0,0.00076637027,42.78836326599121,20.654787063598633,0.0003,0.009486377239227295,0.2,-9.231311130523682,-0.0037388753031265764,330
125,5,21,5,0.0,0.004721799,87.33461990356446,42.281044006347656,0.0003,0.3930184841156006,0.2,-9.211152172088623,-0.03216044052224589,340
150,7,20,6,0.0,0.0034597015,14.841825485229492,6.571791172027588,0.0003,-0.03264617919921875,0.2,-9.255035877227783,-0.011193583230488002,350
175,8,20,7,0.10799999833106995,0.021091122,7.109205722808838,3.076996326446533,0.0003,-0.6949402093887329,0.2,-9.24865550994873,-0.05260505612194564,360
200,10,19,8,0.02799999937415123,0.0068307254,10.786795806884765,4.785414695739746,0.0003,0.02100515365600586,0.2,-9.426376914978027,-0.02339985623583196,370
225,11,19,9,0.007999999821186066,0.0036224579,74.24726486206055,36.039180755615234,0.0003,-1.043522596359253,0.2,-9.322611618041993,-0.02275452039763337,380
250,13,18,10,0.0,0.0038960576,15.211416339874267,6.935998439788818,0.0003,0.0426863431930542,0.2,-9.321294212341309,-0.025380859620869244,390
25,0,26,1,0.0,0.0024682544,50.23632316589355,23.458219528198242,0.0003,-0.05879795551300049,0.2,-9.2211256980896,-0.01684392815642042,400
50,2,24,2,0.0,0.0004705739,69.5891357421875,34.41608810424805,0.0003,-0.8358182907104492,0.2,-9.306551456451416,-0.006475214822683739,410
75,3,21,3,0.0,0.00018577337,63.630289459228514,27.615413665771484,0.0003,-3.938558578491211,0.2,-9.243941116333009,-0.004931668039178305,420
