,assets,cash,equity
8348,-2,370.7025000000007,-19.897499999999297
8349,-12,2329.702500000001,-20.497499999999036
8350,5,-995.4974999999991,-15.997499999999263
8351,5,-995.4974999999991,-16.49749999999915
8352,5,-995.4974999999991,-16.49749999999915
8353,5,-995.4974999999991,-16.74749999999915
8354,5,-995.4974999999991,-16.74749999999915
8355,5,-995.4974999999991,-17.74749999999915
8356,5,-995.4974999999991,-17.74749999999915
8357,5,-995.4974999999991,-17.74749999999915
8358,5,-995.4974999999991,-17.74749999999915
8359,5,-995.4974999999991,-20.74749999999915
8360,5,-995.4974999999991,-20.74749999999915
8361,5,-995.4974999999991,-22.74749999999915
8362,5,-995.4974999999991,-23.24749999999915
8363,5,-995.4974999999991,-23.99749999999915
8364,5,-995.4974999999991,-23.49749999999915
8365,5,-995.4974999999991,-23.49749999999915
8366,5,-995.4974999999991,-23.24749999999915
8367,5,-995.4974999999991,-23.24749999999915
8368,5,-995.4974999999991,-23.49749999999915
8369,-5,950.5025000000007,-20.997499999999263
8370,-5,950.5025000000007,-23.247499999999263
8371,-5,950.5025000000007,-22.497499999999377
8372,-5,950.5025000000007,-23.497499999999263
8373,-5,950.5025000000007,-24.997499999999263
8374,-5,950.5025000000007,-24.497499999999263
8375,-5,950.5025000000007,-25.497499999999263
8376,-5,950.5025000000007,-26.997499999999263
8377,-5,950.5025000000007,-26.997499999999263
8378,-5,950.5025000000007,-29.747499999999263
8379,-5,950.5025000000007,-28.997499999999263
8380,-5,950.5025000000007,-30.997499999999263
8381,-5,950.5025000000007,-30.24749999999915
8382,8,-1597.4974999999993,-27.097499999999172
8383,8,-1597.4974999999993,-28.297499999999445
8384,-2,369.5025000000006,-22.997499999999377
8385,-2,369.5025000000006,-24.0974999999994
8386,-2,369.5025000000006,-22.897499999999354
8387,-2,369.5025000000006,-22.897499999999354
8388,-2,369.5025000000006,-22.997499999999377
8389,-2,369.5025000000006,-22.997499999999377
8390,-2,369.5025000000006,-22.79749999999939
8391,-2,369.5025000000006,-22.897499999999354
8392,-2,369.5025000000006,-22.79749999999939
8393,-2,369.5025000000006,-22.397499999999354
8394,-2,369.5025000000006,-22.397499999999354
8395,-2,369.5025000000006,-20.997499999999377
8396,-2,369.5025000000006,-20.997499999999377
8397,-2,369.5025000000006,-20.79749999999939
8398,-2,369.5025000000006,-20.397499999999354
8399,-2,369.5025000000006,-20.5974999999994
8400,-2,369.5025000000006,-20.497499999999377
8401,-2,369.5025000000006,-20.197499999999366
8402,-2,369.5025000000006,-19.29749999999933
8403,-2,369.5025000000006,-19.197499999999366
8404,-2,369.5025000000006,-18.397499999999354
8405,-2,369.5025000000006,-17.997499999999377
8406,-2,369.5025000000006,-17.997499999999377
8407,-2,369.5025000000006,-17.897499999999354
8408,-2,369.5025000000006,-17.79749999999933
8409,-2,369.5025000000006,-17.5974999999994
8410,-2,369.5025000000006,-17.5974999999994
8411,-2,369.5025000000006,-17.497499999999377
8412,-2,369.5025000000006,-17.5974999999994
8413,-2,369.5025000000006,-17.5974999999994
8414,-2,369.5025000000006,-17.697499999999366
8415,-2,369.5025000000006,-17.697499999999422
8416,-2,369.5025000000006,-17.79749999999939
8417,-2,369.5025000000006,-18.5974999999994
8418,18,-3513.897499999999,-26.397499999999127
8419,18,-3513.897499999999,-29.997499999999036
8420,18,-3513.897499999999,-30.897499999999127
8421,18,-3513.897499999999,-28.197499999998854
8422,18,-3513.897499999999,-23.697499999998854
8423,10,-1962.6974999999989,-26.197499999998854
8424,2,-413.09749999999894,-26.3974999999989
8425,2,-413.09749999999894,-26.297499999998934
8426,2,-413.09749999999894,-26.197499999998968
8427,2,-413.09749999999894,-26.3974999999989
8428,2,-413.09749999999894,-25.997499999998922
8429,2,-413.09749999999894,-26.597499999998945
8430,2,-413.09749999999894,-26.79749999999899
8431,2,-413.09749999999894,-26.797499999998934
8432,2,-413.09749999999894,-26.197499999998968
8433,2,-413.09749999999894,-26.497499999998922
8434,2,-413.09749999999894,-25.597499999998945
8435,2,-413.09749999999894,-26.197499999998968
8436,-8,1526.902500000001,-19.497499999999036
8437,-18,3466.902500000001,-22.397499999999127
8438,2,-414.99749999999835,-26.89749999999833
8439,2,-414.99749999999835,-27.29749999999831
8440,2,-414.99749999999835,-27.39749999999833
8441,2,-414.99749999999835,-27.39749999999833
8442,2,-414.99749999999835,-27.89749999999833
8443,2,-414.99749999999835,-28.097499999998377
8444,2,-414.99749999999835,-27.697499999998342
8445,2,-414.99749999999835,-28.39749999999833
8446,-1,166.7025000000017,-26.84749999999832
8447,-1,166.7025000000017,-26.947499999998286
8448,-1,166.7025000000017,-26.897499999998303
8449,-1,166.7025000000017,-26.747499999998297
8450,-1,166.7025000000017,-26.947499999998314
8451,-1,166.7025000000017,-26.59749999999832
8452,-2,360.7025000000017,-26.59749999999832
8453,-2,360.7025000000017,-26.697499999998286
8454,-2,360.7025000000017,-26.697499999998286
8455,-2,360.7025000000017,-26.39749999999833
8456,-2,360.7025000000017,-26.39749999999833
8457,-2,360.7025000000017,-26.197499999998286
8458,-2,360.7025000000017,-26.197499999998286
8459,-2,360.7025000000017,-26.197499999998286
8460,-2,360.7025000000017,-25.79749999999831
8461,-2,360.7025000000017,-25.497499999998297
8462,-2,360.7025000000017,-25.39749999999833
8463,-2,360.7025000000017,-25.39749999999833
8464,-2,360.7025000000017,-25.197499999998286
8465,-2,360.7025000000017,-25.197499999998286
8466,-2,360.7025000000017,-24.997499999998354
8467,-2,360.7025000000017,-25.197499999998286
8468,-2,360.7025000000017,-24.997499999998354
8469,-2,360.7025000000017,-25.09749999999832
8470,-2,360.7025000000017,-24.79749999999831
8471,-2,360.7025000000017,-24.79749999999831
8472,-2,360.7025000000017,-24.79749999999831
8473,-2,360.7025000000017,-24.79749999999831
8474,-2,360.7025000000017,-24.997499999998354
8475,-2,360.7025000000017,-24.997499999998354
8476,-2,360.7025000000017,-24.697499999998286
8477,-2,360.7025000000017,-24.697499999998286
8478,-2,360.7025000000017,-24.597499999998263
8479,-2,360.7025000000017,-24.697499999998286
8480,-2,360.7025000000017,-24.79749999999831
8481,-2,360.7025000000017,-24.79749999999831
8482,-2,360.7025000000017,-24.59749999999832
8483,-2,360.7025000000017,-24.79749999999831
8484,-2,360.7025000000017,-24.697499999998286
8485,-2,360.7025000000017,-24.597499999998263
8486,-2,360.7025000000017,-24.79749999999831
8487,-2,360.7025000000017,-24.79749999999831
8488,-2,360.7025000000017,-24.79749999999831
8489,-2,360.7025000000017,-24.79749999999831
8490,-2,360.7025000000017,-24.497499999998354
8491,-2,360.7025000000017,-24.59749999999832
8492,-2,360.7025000000017,-24.497499999998354
8493,-2,360.7025000000017,-25.197499999998286
8494,-2,360.7025000000017,-25.197499999998286
8495,-2,360.7025000000017,-25.29749999999831
8496,-2,360.7025000000017,-25.79749999999831
8497,-2,360.7025000000017,-25.39749999999833
8498,-2,360.7025000000017,-24.997499999998354
8499,-2,360.7025000000017,-24.497499999998297
8500,0,1.1025,1.1025
8501,0,1.1025,1.1025
8502,0,1.1025,1.1025
8503,0,1.1025,1.1025
8504,0,1.1025,1.1025
8505,0,1.1025,1.1025
8506,0,1.1025,1.1025
8507,0,1.1025,1.1025
8508,0,1.1025,1.1025
8509,0,1.1025,1.1025
8510,-7,1407.4025000000001,4.952499999999873
8511,-7,1407.4025000000001,3.552500000000009
