time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/entropy_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/loss,train/value_loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/n_updates
3,75,3,24,-8.87607479095459,0.2,0.030407038,0.15999999344348909,2.408515691757202,5.569058418273926,-0.02058255672454834,0.0003,-0.064727919451893,920
4,100,4,23,-8.539758396148681,0.2,0.010462789,0.047999998182058336,33.552085876464844,68.95834732055664,-0.00201261043548584,0.0003,-0.036070763003080944,930
5,125,5,22,-8.410040855407715,0.2,0.010229129,0.035999998450279236,25.124080657958984,52.00900650024414,-0.0003267526626586914,0.0003,-0.034566643507220364,940
6,150,6,22,-8.561397457122803,0.2,0.0063693714,0.003999999910593033,17.41355323791504,36.18861808776855,-0.0018466711044311523,0.0003,-0.03070642992178918,950
7,175,8,21,-8.556022357940673,0.2,0.062718384,0.2919999912381172,2.3583168983459473,5.29823751449585,0.005266070365905762,0.0003,-0.08739401862397785,960
8,200,9,21,-9.038036727905274,0.2,0.057873257,0.2959999918937683,1.3614110946655273,3.0276318311691286,-0.0009149312973022461,0.0003,-0.09563713929429696,970
9,225,10,20,-8.920902538299561,0.2,0.14234537,0.5039999857544899,0.688554048538208,1.6934478878974915,0.01657158136367798,0.0003,-0.11261510533094388,980
10,250,12,20,-9.0111328125,0.2,0.032223906,0.2199999950826168,1.11594820022583,2.5958563804626467,0.030818045139312744,0.0003,-0.05685810045059769,990
1,25,0,27,-8.717050361633301,0.2,0.021273043,0.13199999406933785,2.2470333576202393,5.013453483581543,-0.0606536865234375,0.0003,-0.027320010580822895,1000
2,50,2,24,-8.580298709869385,0.2,0.007183292,0.02799999937415123,12.163450241088867,25.43862819671631,-0.0026525259017944336,0.0003,-0.03247747908160079,1010
3,75,3,23,-8.545925521850586,0.2,0.009924624,0.023999999463558196,3.1460609436035156,6.962206888198852,0.01769399642944336,0.0003,-0.04257627169135958,1020
4,100,4,22,-8.718021774291993,0.2,0.12580243,0.4679999887943268,-0.08288130909204483,0.1616624116897583,-0.18376684188842773,0.0003,-0.11190111932158472,1030
5,125,5,21,-8.617279052734375,0.2,0.014243635,0.06399999931454659,5.277113914489746,11.050311660766601,-0.02168726921081543,0.0003,-0.03663344306964404,1040
6,150,7,21,-8.425044345855714,0.2,0.025296468,0.12799999639391899,2.503267765045166,5.527677965164185,-0.009012460708618164,0.0003,-0.06422454333677904,1050
7,175,8,21,-8.386252117156982,0.2,0.013605034,0.07199999839067459,1.1358089447021484,2.6940218210220337,0.01023167371749878,0.0003,-0.021283186804969035,1060
8,200,9,20,-8.374682521820068,0.2,0.00776437,0.023999999463558196,12.390023231506348,25.87119770050049,-0.003199458122253418,0.0003,-0.033548216132446386,1070
9,225,11,20,-8.712485408782959,0.2,0.07402414,0.3839999884366989,0.8631151914596558,2.1318129301071167,-0.006458759307861328,0.0003,-0.0974104635827242,1080
10,250,12,20,-8.502329635620118,0.2,0.020461049,0.10399999767541886,5.3505473136901855,11.402588653564454,0.01314401626586914,0.0003,-0.0336847320124507,1090
1,25,0,29,-8.937304306030274,0.2,0.023612082,0.09199999794363975,1.5428658723831177,3.3538888454437257,0.016944169998168945,0.0003,-0.06388532699644563,1100
2,50,2,24,-9.23607416152954,0.2,0.030048678,0.14799999445676804,0.44584959745407104,1.2692554473876954,0.00768047571182251,0.0003,-0.06844841329008347,1110
3,75,3,23,-8.600693035125733,0.2,0.014631976,0.06799999922513962,3.7510688304901123,7.7417785167694095,0.0004165172576904297,0.0003,-0.046388642996549836,1120
4,100,4,22,-8.627729034423828,0.2,0.0051022936,0.0,16.472431182861328,33.86476211547851,-0.008452415466308594,0.0003,-0.019549842150881604,1130
5,125,5,22,-8.608795356750488,0.2,0.0040964982,0.015999999642372132,20.36911392211914,41.99510154724121,0.0019057989120483398,0.0003,-0.023819685349240772,1140
6,150,6,21,-8.736714553833007,0.2,0.0030879925,0.003999999910593033,19.382556915283203,40.1041919708252,-7.724761962890625e-05,0.0003,-0.02091195699851909,1150
7,175,8,21,-9.160029315948487,0.2,0.049013928,0.21999999806284903,0.73634934425354,1.9189653992652893,0.010093271732330322,0.0003,-0.07443262895196678,1160
8,200,9,20,-9.23442850112915,0.2,0.016516268,0.05599999949336052,1.4316084384918213,3.437080669403076,0.007785797119140625,0.0003,-0.0466234911875798,1170
9,225,11,20,-9.147556018829345,0.2,0.01789205,0.05999999865889549,1.6827689409255981,3.9477911233901977,-0.00951242446899414,0.0003,-0.04833304929779843,1180
