time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/value_loss,train/n_updates,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_fraction,train/loss
250,10,18,13,-0.434821218252182,4.0701627969741825,28790,-0.01035205815639344,0.2,0.097979926,0.0003,-3.3304333686828613,0.04799999892711639,1.9368159770965576
25,1,25,0,-0.07104546874761582,5.811926651000976,28800,0.0005357022190587202,0.2,2.322197e-06,0.0003,-4.457062244415283,0.0,2.64614200592041
50,2,24,2,-1.1940737247467041,0.7066183447837829,28810,-0.02888460311293528,0.2,0.044407792,0.0003,-3.08740234375,0.09999999776482582,0.26739346981048584
75,3,22,3,-0.41289241015911105,5.81233024597168,28820,-0.007630178973078472,0.2,0.019409562,0.0003,0.14139652252197266,0.03999999910593033,2.8561439514160156
100,4,22,4,-0.7490850687026978,0.9241604924201965,28830,-0.030800769027322872,0.2,0.04032115,0.0003,0.5386728048324585,0.08399999812245369,0.4105740785598755
125,5,21,5,-0.16438062936067582,1.8951499342918396,28840,-0.005923185765277594,0.2,0.003483002,0.0003,-0.1327458620071411,0.015999999642372132,0.8477302193641663
150,6,20,7,-0.392960849404335,1.2144782304763795,28850,-0.0024053733057808556,0.2,0.0015246295,0.0003,-1.7876017093658447,0.003999999910593033,0.524601936340332
175,7,20,8,-0.0514107521623373,1.0086584448814393,28860,0.00047412251471570246,0.2,2.2649765e-07,0.0003,0.10500818490982056,0.0,0.4801318943500519
200,8,19,10,-0.07610978335142135,0.5283315122127533,28870,-0.00743241018790286,0.2,0.0010956812,0.0003,0.17076700925827026,0.007999999821186066,0.23219069838523865
225,9,19,11,-0.6579150021076202,1.0669988453388215,28880,-0.010141946658724522,0.2,0.015219731,0.0003,0.24840575456619263,0.05599999874830246,0.4582834243774414
250,10,18,13,-0.3388855308294296,1.61527841091156,28890,-0.012562198776751642,0.2,0.058195256,0.0003,-0.036409854888916016,0.031999999284744264,0.7298921346664429
25,1,25,0,-0.042656632140278816,0.4136292964220047,28900,-0.00012363338125567224,0.2,5.7315824e-06,0.0003,-0.36062026023864746,0.0,0.19906246662139893
50,2,23,2,-0.17549532055854797,2.913488841056824,28910,-0.00024150871238788342,0.2,6.737947e-05,0.0003,-0.07917070388793945,0.0,1.372908353805542
75,3,23,3,-0.43629026412963867,20.934278297424317,28920,0.001119863013970246,0.2,6.0942173e-05,0.0003,-8.892219543457031,0.0,10.156612396240234
100,4,22,4,-0.015511425491422415,4.458046269416809,28930,1.091480230996922e-06,0.2,0.0,0.0003,0.5535508096218109,0.0,1.8031123876571655
125,5,21,5,-0.3515854448080063,1.8757535696029664,28940,-9.668195148861968e-05,0.2,8.584737e-05,0.0003,-1.2297797203063965,0.0,0.796783983707428
150,6,21,7,-0.08942553922533988,7.0680016040802,28950,-0.00039265106618397995,0.2,6.839514e-05,0.0003,-1.3503825664520264,0.0,3.0047192573547363
175,7,20,8,-0.1625780001282692,1.3119116127490997,28960,-0.002699757696885996,0.2,0.0012234998,0.0003,-0.15312719345092773,0.007999999821186066,0.43885427713394165
200,8,19,10,-0.028158066049218177,0.6812608420848847,28970,-0.0001695740184223027,0.2,7.891655e-07,0.0003,0.5449764430522919,0.0,0.28831756114959717
225,9,19,11,-1.3753685116767884,18.768283081054687,28980,-0.033687429703772406,0.2,0.14061908,0.0003,-0.19178473949432373,0.19599999859929085,8.815934181213379
250,10,18,13,-0.005712408572435379,16.77822608947754,28990,6.353855130925012e-08,0.2,0.0,0.0003,-0.19685626029968262,0.0,6.997935771942139
25,1,26,0,-0.005788238998502493,29.916835975646972,29000,3.814697144832735e-08,0.2,0.0,0.0003,0.01050412654876709,0.0,8.531065940856934
50,2,24,2,-0.030430849641561508,15.399910736083985,29010,3.4713744767600474e-07,0.2,1.4305114e-08,0.0003,0.24394214153289795,0.0,7.105389595031738
75,3,23,3,-0.49101326167583464,7.637667274475097,29020,-0.0029126319075002626,0.2,0.0004749417,0.0003,0.05604439973831177,0.0,3.561553955078125
100,4,22,4,-0.014375117979943753,2.1197340965270994,29030,-3.5471915133200583e-06,0.2,-2.3841857e-09,0.0003,-2.819491386413574,0.0,0.6889432072639465
125,5,22,5,-1.2471594095230103,1.3238943576812745,29040,-0.008749334462452652,0.2,0.008801202,0.0003,0.33383113145828247,0.04799999892711639,0.5966089367866516
150,6,21,7,-0.1232929028570652,22.11041259765625,29050,-0.0022432536467677624,0.2,0.00020192146,0.0003,-0.01388561725616455,0.0,10.807897567749023
175,7,20,8,-0.3987274974584579,2.1357661843299867,29060,-0.0035517977844278905,0.2,0.005429387,0.0003,-0.12111234664916992,0.015999999642372132,0.8817399144172668
200,8,19,10,-0.690757691860199,0.6967938899993896,29070,-0.018621300207450987,0.2,0.030484952,0.0003,-0.42401719093322754,0.08799999803304673,0.3152786195278168
225,9,18,11,-0.06941935122013092,6.848410558700562,29080,0.0008470470823812804,0.2,6.814003e-06,0.0003,0.1505824327468872,0.0,3.1984710693359375
250,10,18,13,-0.32191922664642336,3.172053027153015,29090,-0.004878274606540956,0.2,0.003395314,0.0003,-3.774139881134033,0.019999999552965164,1.3294316530227661
25,1,25,0,-0.07594805285334587,2.8096711158752443,29100,2.191901171677557e-05,0.2,1.8596648e-07,0.0003,0.48312968015670776,0.0,1.3014452457427979
50,2,23,2,-0.5117779731750488,1.9039158821105957,29110,-0.0015491011071717686,0.2,0.00083436246,0.0003,0.01934868097305298,0.0,0.8700326085090637
75,3,22,3,-0.1436078056693077,0.4957338720560074,29120,-0.007261626656632813,0.2,0.008632743,0.0003,-0.09094846248626709,0.023999999463558196,0.18949173390865326
100,4,21,4,-0.3474661707878113,1.3322202801704406,29130,-0.0008892900960054462,0.2,0.0076222466,0.0003,-3.205425262451172,0.02799999937415123,0.6396177411079407
125,5,21,5,-0.08372788950800895,0.935719245672226,29140,-0.0006599259385548173,0.2,0.000113787646,0.0003,-0.1448214054107666,0.0,0.3867260813713074
150,6,20,7,-0.035365118831396106,6.890864419937134,29150,0.00039212177996521546,0.2,9.298324e-07,0.0003,-2.971869707107544,0.0,3.2919225692749023
175,7,20,8,-0.010160540975630284,12.113138008117676,29160,-5.150317969437879e-06,0.2,0.0,0.0003,-3.141533374786377,0.0,5.6618218421936035
200,8,19,10,-0.2153902381658554,1.5619338154792786,29170,4.256725203077849e-06,0.2,4.2438505e-06,0.0003,0.609973669052124,0.0,0.6998386979103088
225,9,19,11,-0.06367612034082412,11.496039009094238,29180,-4.0737389483780365e-05,0.2,4.9114226e-07,0.0003,-9.008545875549316,0.0,5.408668041229248
250,10,18,13,-0.37832323014736174,1.772978389263153,29190,-0.003478040633490309,0.2,0.0038523984,0.0003,-1.0339665412902832,0.019999999552965164,0.7565977573394775
25,1,24,1,-0.043664203584194185,0.41655977368354796,29200,-0.0005539903476886821,0.2,1.4462471e-05,0.0003,0.37414973974227905,0.0,0.18836812674999237
50,2,23,2,-0.23240714520215988,1.701651132106781,29210,-0.013131054583005586,0.2,0.002850735,0.0003,-1.950773000717163,0.019999999552965164,0.7046300172805786
75,3,22,3,-0.4396210193634033,1.6680070638656617,29220,-0.020972954001277345,0.2,0.12684679,0.0003,-0.0964735746383667,0.06399999856948853,0.7692444920539856
100,4,21,4,-0.4436405450105667,1.1713713347911834,29230,-0.006532375235110521,0.2,0.05741846,0.0003,-1.2800981998443604,0.05999999865889549,0.47018808126449585
125,5,21,5,-0.009535988699644804,2.710277557373047,29240,1.1533736855184883e-05,0.2,9.536743e-09,0.0003,-0.35149312019348145,0.0,1.1406688690185547
150,6,21,7,-0.3624774754047394,2.036587917804718,29250,-0.006234226988628677,0.2,0.007966668,0.0003,-0.27829158306121826,0.031999999284744264,0.9264631271362305
175,7,20,8,-0.31596518456935885,2.986097240447998,29260,-0.0007411067336798638,0.2,0.00070692773,0.0003,0.2960704565048218,0.0,1.3720645904541016
200,8,19,10,-0.6380387604236603,1.670669972896576,29270,-0.014384674381464891,0.2,0.028359586,0.0003,-0.010366201400756836,0.05599999874830246,0.7955923676490784
225,9,19,11,-0.8436079919338226,0.42044522166252135,29280,-0.0158576390099479,0.2,0.025074529,0.0003,-1.0047447681427002,0.07599999830126762,0.17952796816825867
250,10,19,13,-0.12855696976184844,1.7043330192565918,29290,-0.0036028012686874613,0.2,0.0032390975,0.0003,-0.9156984090805054,0.015999999642372132,0.7992870211601257
