,assets,cash,equity
7706,14,-2696.597500000015,-35.19750000001477
7707,14,-2696.597500000015,-35.89750000001459
7708,14,-2696.597500000015,-35.89750000001459
7709,14,-2696.597500000015,-37.297500000015134
7710,14,-2696.597500000015,-36.59750000001486
7711,14,-2696.597500000015,-39.39750000001459
7712,14,-2696.597500000015,-42.89750000001459
7713,14,-2696.597500000015,-43.59750000001486
7714,-6,1096.4024999999847,-40.8975000000155
7715,-5,907.0024999999847,-40.24750000001529
7716,33,-6286.3975000000155,-37.847500000014406
7717,25,-4771.197500000017,-39.94750000001659
7718,-15,2796.6024999999827,-40.64750000001686
7719,-6,1095.6024999999827,-39.89750000001732
7720,-6,1095.6024999999827,-40.49750000001745
7721,-5,906.4024999999826,-40.09750000001736
7722,-2,339.1024999999827,-39.39750000001732
7723,-2,339.1024999999827,-38.99750000001734
7724,-2,339.1024999999827,-38.99750000001734
7725,-2,339.1024999999827,-38.99750000001734
7726,-2,339.1024999999827,-38.99750000001734
7727,-2,339.1024999999827,-38.797500000017294
7728,-7,1284.1024999999827,-38.54750000001718
7729,-6,1095.3024999999827,-38.09750000001736
7730,-11,2039.8024999999827,-37.547500000017635
7731,-11,2039.8024999999827,-37.547500000017635
7732,-11,2039.8024999999827,-38.64750000001709
7733,-11,2039.8024999999827,-37.547500000017635
7734,-11,2039.8024999999827,-39.19750000001727
7735,8,-1547.3975000000173,-36.597500000017135
7736,-2,341.6024999999828,-35.8975000000172
7737,-2,341.6024999999828,-35.8975000000172
7738,78,-14762.397500000017,-32.097500000016225
7739,78,-14762.397500000017,-35.99750000001586
7740,72,-13627.797500000017,-34.19750000001659
7741,70,-13250.197500000017,-51.69750000001659
7742,30,-5706.197500000016,-49.69750000001568
7743,30,-5706.197500000016,-52.69750000001568
7744,-10,1823.7024999999842,-56.797500000015816
7745,-10,1823.7024999999842,-57.79750000001559
7746,-2,319.7024999999842,-56.497500000015805
7747,-2,319.7024999999842,-56.497500000015805
7748,-12,2200.7024999999844,-54.09750000001577
7749,-4,699.1024999999845,-52.29750000001559
7750,0,1.1025,1.1025
7751,0,1.1025,1.1025
7752,-10,2012.1025000000002,11.602500000000191
7753,2,-384.29749999999984,15.402500000000146
7754,2,-384.29749999999984,15.30250000000018
7755,2,-384.29749999999984,15.202500000000157
7756,2,-384.29749999999984,14.502500000000168
7757,2,-384.29749999999984,16.202500000000157
7758,2,-384.29749999999984,16.402500000000146
7759,2,-384.29749999999984,16.00250000000017
7760,2,-384.29749999999984,16.30250000000018
7761,-18,3616.4025,17.302500000000236
7762,11,-2177.7974999999997,23.852499999999964
7763,13,-2576.9974999999995,19.75250000000051
7764,13,-2576.9974999999995,18.452500000000782
7765,-11,2218.202500000001,23.1525000000006
7766,-11,2218.202500000001,19.30250000000069
7767,-11,2218.202500000001,19.302500000001146
7768,-6,1220.2025000000008,18.4025000000006
7769,4,-779.7974999999992,20.802500000000805
7770,14,-2774.797499999999,28.00250000000051
7771,4,-767.7974999999998,34.202500000000214
7772,4,-767.7974999999998,34.602500000000305
7773,5,-967.6974999999998,34.05250000000035
7774,5,-967.6974999999998,33.80250000000024
7775,5,-967.6974999999998,35.30250000000024
7776,5,-967.6974999999998,34.30250000000012
7777,5,-967.6974999999998,35.80250000000024
7778,5,-967.6974999999998,34.55250000000024
7779,5,-967.6974999999998,34.30250000000024
7780,8,-1567.0974999999999,33.70250000000033
7781,-1,236.50250000000017,36.45250000000016
7782,-1,236.50250000000017,35.95250000000016
7783,-1,236.50250000000017,35.85250000000019
7784,-9,1845.3025000000002,37.652500000000146
7785,25,-4978.497499999999,42.75250000000142
7786,17,-3370.4974999999986,41.402500000001055
7787,14,-2767.7974999999988,37.10250000000133
7788,14,-2767.7974999999988,39.20250000000124
7789,1,-159.99749999999878,40.352500000001214
7790,-21,4253.202500000001,43.75250000000142
7791,-1,249.20250000000146,48.65250000000145
7792,-4,856.4025000000017,53.802500000001714
7793,17,-3347.797499999998,58.152500000001965
7794,17,-3347.797499999998,55.60250000000178
7795,-23,4664.202500000003,60.75250000000324
7796,-14,2864.202500000003,62.10250000000315
7797,-8,1664.8025000000027,62.40250000000265
7798,19,-3737.897499999997,68.75250000000369
7799,19,-3737.897499999997,63.05250000000342
7800,10,-1936.0974999999974,63.90250000000265
7801,10,-1936.0974999999974,66.40250000000265
7802,10,-1936.0974999999974,63.90250000000265
7803,10,-1936.0974999999974,64.90250000000265
7804,10,-1936.0974999999974,64.40250000000265
7805,10,-1936.0974999999974,62.40250000000265
7806,10,-1936.0974999999974,66.40250000000265
7807,10,-1936.0974999999974,65.40250000000242
7808,10,-1936.0974999999974,65.40250000000242
7809,10,-1936.0974999999974,67.40250000000265
7810,4,-733.0974999999974,68.50250000000267
7811,4,-733.0974999999974,68.7025000000026
7812,-40,8102.1025000000045,92.10250000000451
7813,-34,6903.902500000005,102.20250000000397
7814,-37,7511.802500000004,108.10250000000451
7815,-37,7511.802500000004,102.55250000000433
7816,-24,4910.502500000004,99.70250000000487
7817,-17,3509.102500000005,98.05250000000524
7818,-12,2506.602500000005,98.80250000000478
7819,1,-80.59749999999525,120.65250000000475
7820,1,-80.59749999999525,120.80250000000476
7821,-23,4755.402500000005,125.50250000000415
7822,2,-269.5974999999953,133.10250000000468
7823,2,-269.5974999999953,133.30250000000467
7824,10,-1875.1974999999952,144.30250000000478
7825,10,-1875.1974999999952,145.80250000000478
7826,10,-1875.1974999999952,146.80250000000478
7827,-4,961.2025000000049,153.40250000000492
7828,4,-650.7974999999951,155.60250000000485
7829,-12,2576.4025000000047,158.4025000000047
7830,-32,6620.402500000004,150.00250000000415
7831,-46,9461.002500000004,134.50250000000415
7832,-39,8043.502500000004,130.40250000000378
7833,-28,5813.802500000004,127.00250000000415
7834,-28,5813.802500000004,115.80250000000433
7835,-10,2154.4025000000042,115.90250000000401
7836,-10,2154.4025000000042,115.40250000000447
7837,-6,1340.0025000000044,116.30250000000456
7838,31,-6189.497499999996,148.45250000000397
7839,21,-4144.497499999996,141.6025000000036
7840,21,-4144.497499999996,153.15250000000378
7841,20,-3934.3974999999964,158.60250000000315
7842,21,-4138.197499999997,144.75250000000324
7843,-19,4021.8025000000034,143.90250000000287
7844,-16,3410.7025000000035,147.5025000000037
7845,-16,3410.7025000000035,147.5025000000037
7846,-14,3003.1025000000036,143.6025000000036
7847,-13,2799.3025000000034,146.65250000000333
7848,-13,2799.3025000000034,145.3525000000036
7849,-13,2799.3025000000034,144.7025000000035
7850,-19,4027.3025000000034,148.4525000000035
7851,-10,2192.2025000000026,149.7025000000026
7852,-2,565.1025000000026,155.60250000000258
7853,14,-2695.6974999999975,163.8025000000025
7854,14,-2695.6974999999975,162.40250000000242
7855,14,-2695.6974999999975,155.40250000000196
7856,-22,4637.502500000001,157.20250000000215
7857,-22,4637.502500000001,151.70250000000124
7858,-22,4637.502500000001,130.8025000000007
7859,-9,1976.402500000002,131.852500000002
7860,15,-2938.7974999999988,134.70250000000124
7861,15,-2938.7974999999988,133.95250000000124
7862,8,-1503.0974999999985,132.9025000000015
7863,8,-1503.0974999999985,130.50250000000142
7864,-2,540.9025000000015,132.1025000000015
7865,-2,540.9025000000015,132.3025000000015
7866,-2,540.9025000000015,132.60250000000156
7867,-2,540.9025000000015,132.50250000000153
7868,-2,540.9025000000015,132.4025000000015
7869,-2,540.9025000000015,132.4025000000015
7870,14,-2724.6974999999984,133.40250000000106
7871,18,-3535.4974999999977,131.10250000000224
7872,15,-2923.3974999999973,126.85250000000269
7873,15,-2923.3974999999973,126.85250000000269
7874,15,-2923.3974999999973,120.85250000000269
7875,15,-2923.3974999999973,128.3525000000027
7876,13,-2510.3974999999973,126.65250000000287
7877,4,-684.2974999999973,126.30250000000262
7878,13,-2503.197499999997,128.00250000000278
7879,13,-2503.197499999997,128.65250000000287
7880,2,-274.597499999997,129.502500000003
7881,23,-4501.897499999997,131.45250000000215
7882,7,-1277.8974999999973,131.20250000000283
7883,-16,3354.3025000000034,135.1025000000036
7884,-2,541.7025000000035,139.80250000000353
7885,68,-13535.197499999997,146.40250000000196
7886,42,-8293.597499999996,154.70250000000306
